Location,Date,Lunar,Lights,Wharf_lights,Weather,WindSpeed,Wind Direction,Box,Total_LESP,Alive_LESP,Dead_LESP,Other_Birds,Cats,Gulls,Number_of_Boats,Plant_processing,Species_processed,Notes,Observer,Database
Bay de Verde,9-16-2021,83,off,,"very windy, foggy",77,22,14,0,0,0,,,,0,,,no boats,Sherry Green,Sherry's Data 2021
Bay de Verde,9-17-2021,90,off,,"very windy, foggy",48,25,14,0,0,0,,,,0,,,no boats,Sherry Green,Sherry's Data 2021
Bay de Verde,9-18-2021,96,off,,"light winds, foggy",59,25,14,0,0,0,,,,0,,,no boats,Sherry Green,Sherry's Data 2021
Bay de Verde,9-19-2021,moon does not pass meridian on this day,on,,"very windy, foggy",89,3,14,3,3,0,,,,0,,,no boats,Sherry Green,Sherry's Data 2021
Bay de Verde,9-20-2021,99,on,,"very windy, rain",96,3,14,1,1,0,,,,0,,,no boats,Sherry Green,Sherry's Data 2021
Bay de Verde,9-21-2021,100,off,,"windy, clear",58,26,14,0,0,0,,,,0,,,no boats,Sherry Green,Sherry's Data 2021
Bay de Verde,9-22-2021,98,on,,"clear, light winds",58,27,14,0,0,0,,,,0,,,no boats,Sherry Green,Sherry's Data 2021
Bay de Verde,9-23-2021,95,on,,,48,4,14,0,0,0,,,,1,,,1 boat,Sherry Green,Sherry's Data 2021
Bay de Verde,9-25-2021,83,off,,"clear, light winds",34,25,14,0,0,0,,,,0,,,no boats,Sherry Green,Sherry's Data 2021
Bay de Verde,9-26-2021,75,on,,"windy,foggy,rain",49,25,14,0,0,0,,,,0,,,no boats,Sherry Green,Sherry's Data 2021
Bay de Verde,9-27-2021,66,off,,"windy, foggy",65,17,14,0,0,0,,,,0,,,no boats,Sherry Green,Sherry's Data 2021
Bay de Verde,9-28-2021,57,on,,"windy, rain, fog",52,25,14,0,0,0,,,,0,,,no boats,Sherry Green,Sherry's Data 2021
Bay de Verde,9-29-2021,47,on,,"foggy, light winds, heavy rain",36,25,14,0,0,0,,,,1,,,1 boat,Sherry Green,Sherry's Data 2021
Bay de Verde,9-30-2021,37,off,,"fog, rain, light winds",39,14,14,283,273,10,,,,1,,,"Sherry's data confirmed the number was 273, Sabina took the dead birds back with her, many, many birds flying around, 1 boat",Sherry Green,Sherry's Data 2021
