Date,Time,Plant_lights,Wharf lights,Total_LESP_per_round,Total_LESP_per_night,Total_ad_LESP_per_night,Total_juv_LESP_per_night,Total_unk_LESP_per_night,Live_LESP_per_night,Dead_LESP_per_night,Live_adults,Dead_adults,Live_breeding_adults,Dead_breeding_adults,Live_nonbreeders,Dead_nonbreeders,Live_juveniles,Dead_juveniles,Location of birds?,# of gulls,# of cats,"# other predators , please list",Weather_Conditions,Lunar,Wind_Speed,Wind_Direction,# of boats,"Time of boats arrival (24 hr time, please list with comma in between)",Size of vessel (ft) (please list with comma in between),Type of lighting on boats (please list with comma in between and specify ON/OFF),Notes,Ref,Weather Coding
10/03/2021,,On,On,1100,1100,0,1030,0,1030,70,0,0,,,,,1030,70,,,1,,1,11,35,5,,,,,"Not collected by Tori. Observers were Taylor Brown, Juliana Coffey, Robert Blackmore, and Fiona Le Taro. Fishplant lights were eventually turned off.",,
10/04/2021,,Off,On,108,108,,,,,,,,,,,,,,,,1,,1,5,55,33,,,,,"Not collected by Tori. Observers were Taylor and Juliana and Mohammad. Note: numerous birds collected this morning and evening (n=36) believed to be from previous night strandings; morning strandings were also collected with Sabina + Chris. Weather data not available, estimated from St. John's",9 pm October 4 2021 custom weather data,
10/05/2021,,Off,On,49,49,,,,,,,,,,,,,,,,2,,1,1,63,34,,,,,"12 dead. Not collected by Tori. Observers were Taylor and Juliana and Mohammad. Note: 2 live birds seem from last night emerging from crevices and captured at 8PM.  added 2 to 10/04 2 live birds retrieved from Sherri's boxes at 9PM. added 2 to 10/05. Weather data not available, estimated from St. John's",9 pm October 5 2021 custom weather data,
10/06/2021,,NA,On,20,20,,,,,,,,,,,,,,,,,,0,0,49,25,,,,,"Estimate. Not collected by Tori. Observers were Taylor and Juliana. Note: the 10 birds are ones that were involved in the experiments; several others were also recovered but no total recorded (less than 15 additional); no info recorded on dead birds Added 12. Weather data not available, estimated from St. John's",9 pm October 6 2021 custom weather data,
10/07/2021,,NA,On,20,20,,,,,,,,,,,,,,,,,,1,0,44,34,,,,,"Estimate. Not collected by Tori. Observers were Taylor and Juliana. Note: the 10 birds are ones that were involved in the experiments; several others were also recovered but no total recorded (less than 15 additional); no info recorded on dead birds; this night the light at the loading dock on back was turned off added 10. Weather data not available, estimated from St. John's",9 pm October 7 2021 custom weather data,
10/08/2021,,Off,On,5,5,,,,,,,,,,,,,,,,,,1,7,122,2,,,,,"Not collected by Tori. Observers were Taylor and Juliana. observers did an initial check around fish plant but called off due to extreme weather. Weather data not available, estimated from St. John's",9 pm October 8 2021 custom weather data,
10/09/2021,,Off,On,5,5,,,,,,,,,,,,,,,,,,1,15,114,3,,,,,"Not collected by Tori. Observers were Taylor and Juliana. observers did an initial check around fish plant but called off due to extreme weather; note that the 3 dead LESP were found in the morning and would have perished overnight on the 8-9th. Weather data not available, estimated from St. John's",9 pm October 9 2021 custom weather data,
10/10/2021,,Off,On,9,9,,,,,,,,,,,,,,,,1,,0,25,67,3,,,,,"Not collected by Tori. Observers were Taylor and Juliana. observation period 10pm-3am; fish plant lights off, harbour lights on; note that observers were doing experiments and not full-time searching; J. Coffey has the time distribution of birds found. Weather data not available, estimated from St. John's",9 pm October 10 2021 custom weather data,
10/11/2021,,Off,On,25,25,,,,,,,,,,,,,,,,,,1,36,36,34,,,,,"Not collected by Tori. Observers were Taylor and Juliana. observation period 9pm-3am; fish plant lights off, harbour lights on; note that observers were doing experiments and not full-time searching; gulls were able to predate at least 2 that were observed by researchers unable to get to the in time; several more may have been predated while researchers were busy doing experiments; J. Coffey has the time distribution of birds found as well as age class (both juv and adults recovered); more birds were seen flying (primarily around the wharf lights) that did not get stranded. Weather data not available, estimated from St. John's",9 pm October 11 2021 custom weather data,
10/14/2022,20:32:00,Off,On,5,5,0,3,2,0,5,0,,,,,,0,3,"Front of fish plant
Loading dock",2,0,0,1,80.6,32,26,0,,,,"4\5 dead birds found were decapitated, possible mink (S.G. saw a mink earlier this year). No weather data so estimated from St. John's weather",9 pm October 14 custom weather data,
10/14/2022,23:40:00,Off,On,0,,,,,,,0,0,0,0,0,0,0,0,NA,1,0,,3,80.6,32,26,0,,,,No weather data so estimated from st johns weather,12 am October 15 custom weather data,
10/15/2022,01:03:00,Off,On,0,,,,,,,0,0,0,0,0,0,0,0,NA,8,0,0,3,72.1,32,27,0,,,,No weather data so estimated from st johns weather,1 am October 15 custom weather data,
10/16/2022,02:03:00,On,On,170,188,42,130,16,174,14,41,,,,,,115,,"Front of fish plant
Back of fish plant
Loading dock",8,4,0,1,62.8,67,14,0,,,,"11 dead but age unknown, 2 alive of unknown age. Many (50-100) hit and flew away. 1 injured lower mandible broken, later died of injury",,
10/16/2022,03:19:00,On,On,13,,,,,,,1,,,,,,10,,"Front of fish plant
Loading dock",7,0,0,1,62.8,67,14,0,,,,"2 dead, decapitated. Not aged",,
10/16/2022,04:15:00,On,On,5,,,,,,,0,0,,,,,5,0,Front of fish plant,8,1,0,1,62.8,67,14,0,,,,,,
10/19/2022,21:20:00,Off,On,11,167,2,145,20,147,20,0,,,,,,11,,NA,,,,1,33.8,44,16,,,,,Total number of dead birds was 20-30. Observer was Fiona Le Taro. Time was approximate. Weather conditions estimated from St. John's weather data,9 pm October 19 custom weather data,
10/19/2022,22:10:00,Off,On,40,,,,,,,,,,,,,40,,NA,,,,3,33.8,44,16,,,,,weather conditions estimated from St. John's weather station,10 pm October 19 custom weather data,
10/19/2022,22:40:00,Off,On,17,,,,,,,,,,,,,17,,NA,,,,2,33.8,44,16,,,,,"""20-30 dead birds"" weather conditions estimated from St. John's weather station",11 pm October 19 custom weather data,
10/19/2022,23:25:00,Off,On,22,,,,,,,,,,,,,22,,NA,,,,2,33.8,44,16,,,,,weather conditions estimated from St. John's weather station,11 pm October 19 custom weather data,
10/20/2022,02:30:00,Off,On,18,,,,,,,1,,,,,,17,,NA,,,,1,24.7,70,21,,,,,weather conditions estimated from St. John's weather station,2 am October 20 custom weather data,
10/20/2022,03:10:00,Off,On,15,,,,,,,1,,,,,,14,,NA,,,,1,24.7,70,21,,,,,weather conditions estimated from St. John's weather station,3 am October 20 custom weather data,
10/20/2022,03:45:00,Off,On,12,,,,,,,,,,,,,12,,NA,,,,1,24.7,70,21,,,,,weather conditions estimated from St. John's weather station,4 am October 20 custom weather data,
10/20/2022,04:50:00,Off,On,12,,,,,,,,,,,,,12,,NA,,,,1,24.7,70,21,,,,,weather conditions estimated from St. John's weather station,5 am October 20 custom weather data,
10/20/2022,21:20:00,Off,On,26,54,2,51,1,53,1,1,,,,,,25,,NA,,,,1,24.7,70,21,,,,,weather conditions estimated from St. John's weather station,9 pm October 20 custom weather data,
10/20/2022,22:00:00,Off,On,16,,,,,,,,,,,,,16,,NA,,,,1,24.7,70,21,,,,,weather conditions estimated from St. John's weather station,10 pm October 20 custom weather data,
10/20/2022,23:30:00,Off,On,9,,,,,,,,,,,,,9,,NA,,,,1,24.7,70,21,,,,,Half of birds were in concrete blocks,11 pm October 20 custom weather data,
10/21/2022,01:35:00,Off,On,2,,,,,,,1,,1,,,,1,,NA,,,,1,16.5,43,26,,,,,"1 dead bird, weather conditions estimated from St. John's weather station",2 am October 21 custom weather data,
